Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,西川大智,左,清水快真,左,ストレート,,5,3,インプレー,false,,凡打,フライ,右,1,0,,R4
1,表,3,1,1,false,false,false,西川大智,左,細川太志,左,ストレート,,5,3,見送,false,,,,,0,0,,
1,表,3,2,1,false,false,false,西川大智,左,細川太志,左,ストレート,,7,3,空振,false,空三振,,,,1,0,,
1,表,0,0,2,false,false,false,西川大智,左,中野心惇,右,チェンジ,,14,1,空振,false,,,,,0,0,,
1,表,0,1,2,false,false,false,西川大智,左,中野心惇,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,表,0,2,2,false,false,false,西川大智,左,中野心惇,右,ストレート,,3,1,ファール,false,,,,,0,0,,
1,表,0,2,2,false,false,false,西川大智,左,中野心惇,右,カーブ,,2,0,見送,false,見三振,,,,1,0,,
1,裏,0,0,0,false,false,false,野﨑勇一郎,右,多賀健渡,右,ストレート,,4,1,ファール,false,,,,,0,0,,
1,裏,0,0,0,false,false,false,野﨑勇一郎,右,多賀健渡,右,ストレート,,4,1,ファール,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,野﨑勇一郎,右,多賀健渡,右,スライダー,,0,0,ファール,false,,,,,0,0,,
1,裏,0,2,0,false,false,false,野﨑勇一郎,右,多賀健渡,右,ストレート,,3,1,ファール,false,,,,,0,0,,
1,裏,0,2,0,false,false,false,野﨑勇一郎,右,多賀健渡,右,スライダー,,14,0,ボール,false,,,,,0,0,,
1,裏,1,2,0,false,false,false,野﨑勇一郎,右,多賀健渡,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,2,2,0,false,false,false,野﨑勇一郎,右,多賀健渡,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,3,2,0,false,false,false,野﨑勇一郎,右,多賀健渡,右,ストレート,,13,2,ボール,false,四球,,,,0,0,,
1,裏,0,0,0,true,false,false,野﨑勇一郎,右,吉田悠河,左,スライダー,,13,3,ボール,false,,,,,0,0,,
1,裏,1,0,0,true,false,false,野﨑勇一郎,右,吉田悠河,左,チェンジ,,14,3,ボール,false,,,,,0,0,,
1,裏,2,0,0,false,false,true,野﨑勇一郎,右,吉田悠河,左,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,3,0,0,false,false,true,野﨑勇一郎,右,吉田悠河,左,チェンジ,,13,3,ボール,false,四球,,,,0,0,,
1,裏,0,0,0,true,false,true,野﨑勇一郎,右,藤井　陸,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,0,1,0,true,false,true,野﨑勇一郎,右,藤井　陸,右,スライダー,,14,1,空振,false,,,,,0,0,,
1,裏,0,2,0,true,false,true,野﨑勇一郎,右,藤井　陸,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,裏,1,2,0,true,false,true,野﨑勇一郎,右,藤井　陸,右,スライダー,,13,1,空振,false,空三振,,,,1,0,,
1,裏,0,0,1,true,false,true,野﨑勇一郎,右,大宗拓夢,右,スライダー,,14,1,空振,false,,,,,0,0,,
1,裏,0,1,1,true,false,true,野﨑勇一郎,右,大宗拓夢,右,ストレート,,14,1,ボール,false,,,,,0,1,,
1,裏,1,1,1,false,false,true,野﨑勇一郎,右,大宗拓夢,右,チェンジ,,13,1,ボール,false,,,,,0,0,,
1,裏,2,1,1,false,false,true,野﨑勇一郎,右,大宗拓夢,右,ストレート,,11,3,インプレー,false,,凡打,フライ,捕,1,0,,
1,裏,0,0,2,false,false,true,野﨑勇一郎,右,悟道大和,右,ストレート,,3,3,インプレー,false,,凡打,フライ,一,1,0,,
2,表,0,0,0,false,false,false,西川大智,左,山本翔士,左,カーブ,,13,3,ボール,false,,,,,0,0,,
2,表,1,0,0,false,false,false,西川大智,左,山本翔士,左,カーブ,,13,3,ボール,false,,,,,0,0,,
2,表,2,0,0,false,false,false,西川大智,左,山本翔士,左,ストレート,,5,3,ファール,false,,,,,0,0,,
2,表,2,1,0,false,false,false,西川大智,左,山本翔士,左,ストレート,,3,1,空振,false,,,,,0,0,,
2,表,2,2,0,false,false,false,西川大智,左,山本翔士,左,カーブ,,4,3,空振,false,空三振,,,,1,0,,
2,表,0,0,1,false,false,false,西川大智,左,東元龍成,右,カーブ,,12,1,ボール,false,,,,,0,0,,
2,表,1,0,1,false,false,false,西川大智,左,東元龍成,右,ストレート,,3,1,見送,false,,,,,0,0,,
2,表,1,1,1,false,false,false,西川大智,左,東元龍成,右,チェンジ,,1,1,ファール,false,,,,,0,0,,
2,表,1,2,1,false,false,false,西川大智,左,東元龍成,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,表,2,2,1,false,false,false,西川大智,左,東元龍成,右,ストレート,,3,1,ファール,false,,,,,0,0,,
2,表,2,2,1,false,false,false,西川大智,左,東元龍成,右,チェンジ,,3,1,ファール,false,,,,,0,0,,
2,表,2,2,1,false,false,false,西川大智,左,東元龍成,右,チェンジ,,2,1,インプレー,false,,凡打,ライナー,一,1,0,,
2,表,0,0,2,false,false,false,西川大智,左,苅安　陸,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,表,1,0,2,false,false,false,西川大智,左,苅安　陸,右,ストレート,,3,2,インプレー,false,,凡打,フライ,左,1,0,,E6
2,裏,0,0,0,false,false,false,野﨑勇一郎,右,堤　悠一朗,左,チェンジ,,7,3,見送,false,,,,,0,0,,
2,裏,0,1,0,false,false,false,野﨑勇一郎,右,堤　悠一朗,左,ストレート,,13,0,ボール,false,,,,,0,0,,
2,裏,1,1,0,false,false,false,野﨑勇一郎,右,堤　悠一朗,左,チェンジ,,14,1,ボール,false,,,,,0,0,,
2,裏,2,1,0,false,false,false,野﨑勇一郎,右,堤　悠一朗,左,ストレート,,11,3,ボール,false,,,,,0,0,,
2,裏,3,1,0,false,false,false,野﨑勇一郎,右,堤　悠一朗,左,ストレート,,12,1,ボール,false,四球,,,,0,0,,
2,裏,0,0,0,true,false,false,野﨑勇一郎,右,彦田瑛太,右,ストレート,,11,1,ファール,false,,,,,0,0,,
2,裏,0,1,0,true,false,false,野﨑勇一郎,右,彦田瑛太,右,チェンジ,,3,1,インプレー,false,,犠打,ゴロ,捕,1,0,,
2,裏,0,0,1,false,true,false,野﨑勇一郎,右,人見泰成,右,カーブ,,14,1,空振,false,,,,,0,0,,
2,裏,0,1,1,false,true,false,野﨑勇一郎,右,人見泰成,右,スライダー,,14,1,ボール,false,,,,,0,0,,
2,裏,1,1,1,false,true,false,野﨑勇一郎,右,人見泰成,右,チェンジ,,13,1,ボール,false,,,,,0,0,,
2,裏,2,1,1,false,true,false,野﨑勇一郎,右,人見泰成,右,ストレート,,8,3,インプレー,false,,凡打,ゴロ,遊,1,0,,M3
2,裏,0,0,2,false,false,true,野﨑勇一郎,右,中野栞汰,左,ストレート,,2,0,見送,false,,,,,0,0,,
2,裏,0,1,2,false,false,true,野﨑勇一郎,右,中野栞汰,左,ストレート,,1,3,ファール,false,,,,,0,0,,
2,裏,0,2,2,false,false,true,野﨑勇一郎,右,中野栞汰,左,ストレート,,13,1,ボール,false,,,,,0,0,,
2,裏,1,2,2,false,false,true,野﨑勇一郎,右,中野栞汰,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
