Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,大槇優斗,右,久保田大成,右,スライダー,,8,1,インプレー,false,,凡打,フライ,一,1,0,,V2
1,表,0,0,1,false,false,false,大槇優斗,右,唐澤　旬,左,,,0,0,ファール,false,,,,,0,0,,
1,表,0,1,1,false,false,false,大槇優斗,右,唐澤　旬,左,ストレート,,7,3,見送,false,,,,,0,0,,
1,表,0,2,1,false,false,false,大槇優斗,右,唐澤　旬,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,1,2,1,false,false,false,大槇優斗,右,唐澤　旬,左,ストレート,,1,1,インプレー,false,,凡打,フライ,中,1,0,,Q5
1,表,0,0,2,false,false,false,大槇優斗,右,沢出絃徳,左,ストレート,,6,1,ファール,false,,,,,0,0,,
1,表,0,1,2,false,false,false,大槇優斗,右,沢出絃徳,左,スライダー,,7,3,見送,false,,,,,0,0,,
1,表,0,2,2,false,false,false,大槇優斗,右,沢出絃徳,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,1,2,2,false,false,false,大槇優斗,右,沢出絃徳,左,ストレート,,4,3,ファール,false,,,,,0,0,,
1,表,1,2,2,false,false,false,大槇優斗,右,沢出絃徳,左,ストレート,,1,2,インプレー,false,,凡打,ゴロ,遊,1,0,,I3
1,裏,0,0,0,false,false,false,與　賢史朗,右,山川悟輝,左,スライダー,,9,1,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,與　賢史朗,右,山川悟輝,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,與　賢史朗,右,山川悟輝,左,ストレート,,5,3,インプレー,false,,凡打,ゴロ,二,1,0,,Q3
1,裏,0,0,1,false,false,false,與　賢史朗,右,川合錬磨,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,false,與　賢史朗,右,川合錬磨,右,ストレート,,14,1,ボール,false,,,,,0,0,,
